raw_match_row,observatory,endpoint,blind_code,manual_feature,manual_morphology,manual_confidence,manual_notes,tile_id,candidate_index,detector_csv,detector_csv_sha256,detector_local_x,detector_local_y,detector_global_x,detector_global_y,detector_ra_deg,detector_dec_deg,v075_ra_deg,v075_dec_deg,detector_vs_v075_radec_arcsec,tile_origin_x,tile_origin_y,global_minus_tilepluslocal_x_px,global_minus_tilepluslocal_y_px,global_tile_local_residual_px,crosshair_x_px,crosshair_y_px,crosshair_minus_detector_x_px,crosshair_minus_detector_y_px,crosshair_vs_detector_direct_delta_px,crosshair_vs_detector_minus1_delta_px,crosshair_vs_detector_plus1_delta_px,best_simple_coordinate_convention,best_simple_coordinate_delta_px,direct_alignment_band,detector_snr,detector_signal,detector_polarity,detector_sigma
293118,HAMBURG,APPLAUSE:14120,B029,ABSENT,AMBIGUOUS,3,"Object is just above crosshair (possible edge overlap), could be a crosshair misalignment, could be a false positive.",x09216-10240_y01024-02048,97,results/wide_census_detector_execution_v056/tiles/APPLAUSE_14120/x09216-10240_y01024-02048_candidates.csv,7a6aa87b761c42d9e8823e49a46f3661f7f20a0d2d890221652cb4baf64e76b1,783.0,1050.0,9935.0,2010.0,84.58554969416201,8.489569235768318,84.58554969416201,8.489569235768318,0.0,9216,1024,-64.0,-64.0,90.50966799187809,9935.000000000004,2009.9999999999895,3.637978807091713e-12,-1.0459189070388675e-11,1.107382164435505e-11,1.4142135623682717,1.4142135623779184,DIRECT,1.107382164435505e-11,EXACT,6.63770837135238,6260.46869396864,1,943.1671811597109
293118,BAMBERG,APPLAUSE:132654,B024,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,4,crosshair not-centred; possible red herring.,x01024-02048_y03072-04096,321,results/wide_census_detector_execution_v056/tiles/APPLAUSE_132654/x01024-02048_y03072-04096_candidates.csv,cabcd6b4721ebefdfb8d390193bb041cc016f236837995100476bc97fd173dc1,1022.0,902.0,1982.0,3910.0,84.58486759235191,8.49059201321157,84.58486759235191,8.49059201321157,0.0,1024,3072,-64.0,-64.0,90.50966799187809,1981.9904103712959,3910.0634585175326,-0.009589628704134157,0.06345851753258103,0.06417900300032751,1.453222874194805,1.3770915607791743,DIRECT,0.06417900300032751,SUBPIXEL,14.174717528884273,15713.180842610254,-1,1108.5357299424843
293470,HAMBURG,APPLAUSE:14120,B006,DEFINITE,STELLAR_COMPACT,5,,x12288-13312_y04096-05120,49,results/wide_census_detector_execution_v056/tiles/APPLAUSE_14120/x12288-13312_y04096-05120_candidates.csv,f989dc57cc2955dba96bec4ed29c9951286f8c91bebf3924b983f295d6680d9b,278.0,585.0,12502.0,4617.0,85.65260923670982,7.457921184914747,85.65260923670982,7.457921184914747,0.0,12288,4096,-64.0,-64.0,90.50966799187809,12501.999999999973,4617.000000000002,-2.7284841053187847e-11,1.8189894035458565e-12,2.734540681262462e-11,1.414213562355088,1.414213562391102,DIRECT,2.734540681262462e-11,EXACT,30.312581774659808,27942.07888898942,-1,921.7980539139678
293470,BAMBERG,APPLAUSE:132654,B032,DEFINITE,STELLAR_COMPACT,4,,x01024-02048_y02048-03072,239,results/wide_census_detector_execution_v056/tiles/APPLAUSE_132654/x01024-02048_y02048-03072_candidates.csv,0c2506916aec62b0edae840ac8ee82ce16be45c707116f2e55d0d3f349533327,165.0,1068.0,1125.0,3052.0,85.65153104284144,7.459288337863174,85.65153104284144,7.459288337863174,0.0,1024,2048,-64.0,-64.0,90.50966799187809,1124.9960944468914,3051.810910977434,-0.00390555310855234,-0.189089022565895,0.1891293520319077,1.2844379161528652,1.556200200214903,DIRECT,0.1891293520319077,SUBPIXEL,15.724045987777178,17180.37571859236,-1,1092.6180025132994
293841,HAMBURG,APPLAUSE:14120,B002,ABSENT,AMBIGUOUS,5,,x13312-14336_y05120-06144,13,results/wide_census_detector_execution_v056/tiles/APPLAUSE_14120/x13312-14336_y05120-06144_candidates.csv,0beecdfb88e3999a317cc9e8886ab4c81b6b36819afdc98b4e8553ba2be4e85b,657.0,158.0,13905.0,5214.0,85.89751906234683,6.892670254756963,85.89751906234683,6.892670254756963,0.003073585126505738,13312,5120,-64.0,-64.0,90.50966799187809,13904.999999999987,5214.000000000015,-1.2732925824820995e-11,1.4551915228366852e-11,1.9336122591511685e-11,1.4142135623743812,1.4142135623718088,DIRECT,1.9336122591511685e-11,EXACT,7.026656847288644,6271.726075845672,1,892.5618842858003
293841,BAMBERG,APPLAUSE:132654,B008,DEFINITE,STELLAR_COMPACT,4,,x00000-01024_y02048-03072,166,results/wide_census_detector_execution_v056/tiles/APPLAUSE_132654/x00000-01024_y02048-03072_candidates.csv,59d85f920b129fdc05d000f7043de0f333d35ab96b45a238b25d1129803c6429,931.0,600.0,931.0,2584.0,85.89529102999946,6.892641758876512,85.89529102999946,6.892641758876512,0.0,0,2048,0.0,-64.0,64.0,931.0039594071279,2583.795601858194,0.003959407127922532,-0.2043981418059957,0.20443648715077398,1.2809827508293787,1.5629049064593452,DIRECT,0.20443648715077398,SUBPIXEL,12.367117947019121,12941.763227738309,-1,1046.4655777668634
294052,HAMBURG,APPLAUSE:14120,B001,DEFINITE,STELLAR_COMPACT,5,,x03072-04096_y00000-01024,370,results/wide_census_detector_execution_v056/tiles/APPLAUSE_14120/x03072-04096_y00000-01024_candidates.csv,8aae045776eac25ac05e52813db29e0aba3acf39b5f231b9e3096a4bb3295c96,501.0,679.0,3509.0,679.0,84.0208488835515,11.074735508126548,84.0208488835515,11.074735508126548,0.003073585126505738,3072,0,-64.0,0.0,64.0,3509.000000000012,679.0000000000008,1.1823431123048067e-11,7.958078640513122e-13,1.1850182854198816e-11,1.4142135623820182,1.4142135623641718,DIRECT,1.1850182854198816e-11,EXACT,7.1855515956535685,5821.129485009165,-1,810.1158842878922
294052,BAMBERG,APPLAUSE:132654,B010,DEFINITE,STELLAR_COMPACT,5,,x02048-03072_y05120-06144,365,results/wide_census_detector_execution_v056/tiles/APPLAUSE_132654/x02048-03072_y05120-06144_candidates.csv,aab10d353851a1dbb51338f1350ab0384afa7e5cf8f2c701ef071c9d3f434967,421.0,972.0,2405.0,6028.0,84.02179603522212,11.072442786358765,84.02179603522212,11.072442786358764,0.0,2048,5120,-64.0,-64.0,90.50966799187809,2404.981083137416,6029.104672059397,-0.018916862583864713,1.104672059396762,1.104834017625227,2.322104347381421,1.0242791674519722,DETECTOR_PLUS1_BOTH_AXES,1.0242791674519722,WITHIN_2PX,9.538586269469741,10431.859403719205,-1,1093.6483781782813
294130,HAMBURG,APPLAUSE:14120,B025,DEFINITE,STELLAR_COMPACT,5,,x01024-02048_y00000-01024,473,results/wide_census_detector_execution_v056/tiles/APPLAUSE_14120/x01024-02048_y00000-01024_candidates.csv,40165c741316982a0e5c1fc4a3911831bb75952b1bcac82b7646513caaaa5f39,802.0,962.0,1762.0,962.0,84.13096528036219,11.777133747394176,84.13096528036219,11.777133747394176,0.0,1024,0,-64.0,0.0,64.0,1761.99999999993,962.0000000000169,-7.003109203651547e-11,1.693933882052079e-11,7.205064226988754e-11,1.4142135623355536,1.4142135624106367,DIRECT,7.205064226988754e-11,EXACT,7.962903336042102,6620.950174497491,-1,831.4743875552786
294130,BAMBERG,APPLAUSE:132654,B023,DEFINITE,STELLAR_COMPACT,3,,x02048-03072_y06144-07168,180,results/wide_census_detector_execution_v056/tiles/APPLAUSE_132654/x02048-03072_y06144-07168_candidates.csv,a0d39256abfeaef189c36cf7012dfe5d1fa54499e7e7a4499d4c78ccb17b43e9,324.0,521.0,2308.0,6601.0,84.1311697928369,11.774566789900625,84.1311697928369,11.774566789900623,0.0,2048,6144,-64.0,-64.0,90.50966799187809,2307.9783156732024,6602.283924769762,-0.021684326797640097,1.2839247697620522,1.284107871028445,2.4846355689247526,1.060401875945333,DETECTOR_PLUS1_BOTH_AXES,1.060401875945333,WITHIN_2PX,9.197383368758427,10040.980283320054,-1,1091.7214038752747
